PK_MEDICAMENTO,CODIGO_ATC,PRINCIPIOS_ATIVOS_WHODRUG,NOME_MEDICAMENTO_WHODRUG,PK_ATC,DESCRICAO
0,A,,Alimentary tract and metabolism,outros,outros
1,A01A,Mucin,Saliva,outros,outros
2,A01A,Sodium chlorate,Sodium chlorate,outros,outros
3,A01AA,Fluoreto de sódio,Dual,outros,outros
4,A01AA,Flúor_x000D_|Xilitol,Biotene,outros,outros
5,A01AA,Glicose oxidase_x000D_|Lactoperoxidase,Biotene,outros,outros
6,A01AA,Minerals nos_x000D_|Xilitol,Kin hidrat,outros,outros
7,A01AA,Nitrato de potássio_x000D_|Fluoreto de sódio,Sensodyne,outros,outros
8,A01AA,Potassium nitrate|Sodium fluoride,Cariax,outros,outros
9,A01AA,Potassium nitrate|Sodium fluoride,Sensodyne,outros,outros
10,A01AA,Sodium fluoride,Dual,outros,outros
11,A01AA,Sodium fluoride,Sf,outros,outros
12,A01AA,Xilitol,Xylimelts,outros,outros
13,A01AA_x000D_|A12CD,Fluoreto de sódio,Sodium fluoride,outros,outros
14,A01AA|A12CD,Fluorine,Fluorine,outros,outros
15,A01AB,Chlorhexidine gluconate|Sodium fluoride,Cariax,outros,outros
16,A01AB,Clorexidina,Clorexedine,outros,outros
17,A01AB,Gliconato de clorexidina,Chlohexin,outros,outros
18,A01AB,Gliconato de clorexidina,Periogard,outros,outros
19,A01AB,Gliconato de clorexidina,Riohex gard,outros,outros
20,A01AB,Miconazole,Daktarin oral,outros,outros
21,A01AB,Peróxido de uréia,Contrast pm,outros,outros
22,A01AB,Povidone-iodine,Cleanser,outros,outros
23,A01AB,Urea hydrogen peroxide,Contrast pm,outros,outros
24,A01AB_x000D_|A07AA_x000D_|B05CA_x000D_|D06AX_x000D_|J01GB_x000D_|R02AB_x000D_|S01AA_x000D_|S02AA_x000D_|S03AA,Neomycin,Neomicina,outros,outros
25,A01AB_x000D_|A07AA_x000D_|B05CA_x000D_|D06AX_x000D_|J01GB_x000D_|R02AB_x000D_|S01AA_x000D_|S02AA_x000D_|S03AA,Sulfato de neomicina,Neomycin,outros,outros
26,A01AB_x000D_|A07AA_x000D_|D01AA_x000D_|G01AA_x000D_|J02AA,Nistatina,Nistatina,outros,outros
27,A01AB_x000D_|A07AA_x000D_|D01AA_x000D_|G01AA_x000D_|J02AA,Nistatina,Nystatin,outros,outros
28,A01AB_x000D_|A07AA_x000D_|D01AA_x000D_|G01AA_x000D_|J02AA_x000D_|S01AA,Amfotericina b,Amfotericina B,outros,outros
29,A01AB_x000D_|A07AA_x000D_|D01AA_x000D_|G01AA_x000D_|J02AA_x000D_|S01AA,Amfotericina b,Amphotericin b,outros,outros
30,A01AB_x000D_|A07AA_x000D_|D01AA_x000D_|G01AA_x000D_|J02AA_x000D_|S01AA,Amfotericina b,Amphotericine B,outros,outros
31,A01AB_x000D_|A07AA_x000D_|G01AA_x000D_|J02AA,Amfotericina b,Anfotericina,outros,outros
32,A01AB_x000D_|A07AA_x000D_|G01AA_x000D_|J02AA,Amphotericin B deoxycholate,Amphotericin B deoxycholate,outros,outros
33,A01AB_x000D_|A07AC_x000D_|D01AC_x000D_|G01AF_x000D_|J02AB_x000D_|P01AB_x000D_|S02AA,Miconazole,Miconazol,outros,outros
34,A01AB_x000D_|A12CX_x000D_|C05BB_x000D_|D08AG_x000D_|H03CA_x000D_|R02AA_x000D_|R05CA_x000D_|S01XA_x000D_|V03AB_x000D_|V91,Iodo,Iodine,outros,outros
35,A01AB_x000D_|B02BC_x000D_|D08AE_x000D_|G01AX,Policresuleno,Policresuleno,outros,outros
